name,description,price,stock_quantity,category_name,brand_name
"Abstract Canvas Art","Modern abstract design in vibrant colors",129.99,25,"Wall Art","ModernMuse"
"Mountain Landscape Print","Serene mountain view artwork",79.99,40,"Wall Art","ArtisanCraft"
"Minimalist Wall Clock","Silent quartz movement wall clock",49.99,40,"Wall Art","ModernMuse"
"Urban Skyline Canvas","Contemporary city skyline art",159.99,30,"Wall Art","UrbanChic"
"Botanical Print Set","Set of 3 botanical illustrations",89.99,35,"Wall Art","VintageVogue"
"Geometric Wall Art","Modern geometric metal wall decoration",119.99,20,"Wall Art","NordicNest"
"Abstract Metal Wall Panel","Hand-crafted metal wall art",199.99,15,"Wall Art","GlobalArtisan"
"Japanese Garden Print","Peaceful garden scene artwork",69.99,45,"Wall Art","ZenDecor"
"Scented Soy Candle","Natural soy wax candle with vanilla scent",24.99,100,"Candles","EcoHaven"
"Lavender Jar Candle","Long-lasting lavender scented candle",19.99,150,"Candles","HomeStyle"
"Aromatherapy Candle Set","Set of 3 essential oil candles",44.99,80,"Candles","EcoHaven"
"Rustic Wooden Candle Holder","Handcrafted wooden candle holder",34.99,60,"Candles","RusticCharm"
"Coastal Breeze Candle","Ocean-scented natural candle",29.99,90,"Candles","CoastalBliss"
"Meditation Candle Set","Set of 5 zen meditation candles",59.99,40,"Candles","ZenDecor"
"Bohemian Glass Candleholder","Colorful glass candle holder set",49.99,50,"Candles","BohoPrism"
"Vintage Brass Candlesticks","Set of 2 antique-style candlesticks",79.99,30,"Candles","VintageVogue"
"Decorative Throw Pillow","Soft velvet cushion with geometric pattern",39.99,50,"Cushions","HomeStyle"
"Bohemian Floor Cushion","Large decorative floor cushion",69.99,35,"Cushions","EcoHaven"
"Velvet Accent Pillow","Premium velvet decorative pillow",29.99,65,"Cushions","HomeStyle"
"Nordic Pattern Cushion","Minimalist pattern throw pillow",44.99,55,"Cushions","NordicNest"
"Coastal Stripe Pillows","Set of 2 nautical stripe cushions",54.99,40,"Cushions","CoastalBliss"
"Zen Garden Cushion","Japanese-inspired cushion design",39.99,45,"Cushions","ZenDecor"
"Moroccan Floor Pouf","Hand-woven floor cushion",89.99,25,"Cushions","GlobalArtisan"
"Luxury Velvet Pillow Set","Set of 3 luxury throw pillows",129.99,20,"Cushions","LuxuryLiving"
"Crystal Flower Vase","Hand-cut crystal vase for fresh flowers",89.99,30,"Vases","LuxuryLiving"
"Ceramic Table Vase","Modern ceramic vase with matte finish",59.99,45,"Vases","ModernMuse"
"Rose Gold Vase","Elegant metallic finish flower vase",79.99,30,"Vases","LuxuryLiving"
"Bamboo Floor Vase","Tall bamboo decorative vase",69.99,35,"Vases","ZenDecor"
"Coastal Blue Vase","Hand-painted ceramic beach vase",49.99,40,"Vases","CoastalBliss"
"Rustic Pottery Vase","Handcrafted earthenware vase",54.99,35,"Vases","RusticCharm"
"Art Deco Glass Vase","Vintage-style decorative vase",99.99,25,"Vases","VintageVogue"
"Nordic Minimalist Vase","Simple clean-lined ceramic vase",44.99,50,"Vases","NordicNest"
"Wooden Picture Frame","Handcrafted wooden frame, size 8x10",45.99,75,"Photo Frames","ArtisanCraft"
"Metal Photo Frame","Modern metallic frame, size 5x7",34.99,60,"Photo Frames","LuxuryLiving"
"Vintage Photo Frames Set","Set of 3 antique-style frames",89.99,25,"Photo Frames","ArtisanCraft"
"Floating Glass Frame","Modern floating glass frame",49.99,40,"Photo Frames","ModernMuse"
"Coastal Rope Frame","Nautical rope photo frame",39.99,45,"Photo Frames","CoastalBliss"
"Bamboo Frame Set","Set of 4 eco-friendly frames",79.99,30,"Photo Frames","EcoHaven"
"Art Deco Frame","Vintage-style ornate frame",69.99,35,"Photo Frames","VintageVogue"
"Minimalist Steel Frame","Simple steel frame design",29.99,55,"Photo Frames","NordicNest"
"Sunburst Wall Mirror","Gold-finished decorative mirror",159.99,20,"Mirrors","LuxuryLiving"
"Nordic Round Mirror","Minimalist round mirror with shelf",89.99,30,"Mirrors","NordicNest"
"Vintage Oval Mirror","Antique-style oval wall mirror",119.99,25,"Mirrors","VintageVogue"
"Bamboo Frame Mirror","Eco-friendly bamboo mirror",79.99,35,"Mirrors","EcoHaven"
"Coastal Shell Mirror","Seashell decorated round mirror",99.99,30,"Mirrors","CoastalBliss"
"Modern LED Mirror","LED-lit contemporary mirror",199.99,15,"Mirrors","ModernMuse"
"Rustic Wood Mirror","Reclaimed wood frame mirror",129.99,25,"Mirrors","RusticCharm"
"Moroccan Arch Mirror","Hand-decorated arched mirror",149.99,20,"Mirrors","GlobalArtisan"
"Ceramic Table Lamp","Modern geometric table lamp",79.99,40,"Lighting","ModernMuse"
"Bamboo Floor Lamp","Tall bamboo standing lamp",129.99,25,"Lighting","ZenDecor"
"Vintage Edison Lamp","Industrial-style desk lamp",89.99,35,"Lighting","VintageVogue"
"Nordic Pendant Light","Minimalist hanging lamp",109.99,30,"Lighting","NordicNest"
"Coastal Lantern Set","Set of 3 nautical lanterns",69.99,45,"Lighting","CoastalBliss"
"Art Deco Table Lamp","Vintage-style glass lamp",149.99,20,"Lighting","LuxuryLiving"
"Rustic Wood Lamp","Farmhouse-style table lamp",94.99,30,"Lighting","RusticCharm"
"Bohemian Hanging Lamp","Colorful mosaic pendant light",119.99,25,"Lighting","BohoPrism"
"Woven Storage Basket","Hand-woven storage basket set",49.99,50,"Storage","EcoHaven"
"Modern Storage Boxes","Set of 3 minimalist boxes",59.99,45,"Storage","ModernMuse"
"Vintage Suitcase Box","Decorative storage suitcase",79.99,35,"Storage","VintageVogue"
"Bamboo Organizer","Multi-compartment desk organizer",39.99,60,"Storage","ZenDecor"
"Coastal Rope Baskets","Nautical rope storage set",54.99,40,"Storage","CoastalBliss"
"Nordic Storage Bench","Storage bench with cushion",159.99,20,"Storage","NordicNest"
"Rustic Wooden Crates","Set of 3 wooden storage crates",89.99,30,"Storage","RusticCharm"
"Moroccan Storage Pouf","Storage ottoman with embroidery",119.99,25,"Storage","GlobalArtisan"
"Moroccan Pattern Rug","Hand-woven wool rug",199.99,15,"Rugs","GlobalArtisan"
"Nordic Geometric Rug","Minimalist pattern area rug",159.99,20,"Rugs","NordicNest"
"Vintage Persian Rug","Traditional style area rug",249.99,10,"Rugs","RegalRoots"
"Natural Jute Rug","Eco-friendly round rug",129.99,25,"Rugs","EcoHaven"
"Coastal Striped Rug","Beach-inspired cotton rug",89.99,35,"Rugs","CoastalBliss"
"Modern Abstract Rug","Contemporary design area rug",179.99,15,"Rugs","ModernMuse"
"Rustic Farmhouse Rug","Natural fiber patterned rug",149.99,20,"Rugs","RusticCharm"
"Bohemian Colorful Rug","Eclectic pattern area rug",169.99,18,"Rugs","BohoPrism"
"Abstract Metal Sculpture","Modern metal table sculpture",119.99,25,"Sculptures","ModernMuse"
"Zen Garden Buddha","Peaceful meditation sculpture",89.99,30,"Sculptures","ZenDecor"
"Vintage Bronze Figure","Classical bronze statuette",149.99,20,"Sculptures","RegalRoots"
"Nordic Wood Sculpture","Minimalist wooden sculpture",79.99,35,"Sculptures","NordicNest"
"Coastal Driftwood Art","Natural driftwood sculpture",69.99,40,"Sculptures","CoastalBliss"
"Crystal Glass Sculpture","Modern abstract glass art",199.99,15,"Sculptures","LuxuryLiving"
"Rustic Animal Figure","Wooden animal sculpture",59.99,45,"Sculptures","RusticCharm"
"Global Tribal Statue","Hand-carved wooden statue",129.99,25,"Sculptures","GlobalArtisan"
