name,description
"HomeStyle","Premium home decoration brand focusing on contemporary designs"
"ArtisanCraft","Handcrafted home decor with traditional techniques"
"LuxuryLiving","High-end home accessories and decorations"
"EcoHaven","Sustainable and eco-friendly home decor products"
"ModernMuse","Modern and minimalist design aesthetics"
"VintageVogue","Classic and retro-inspired home decor"
"NordicNest","Scandinavian-inspired minimalist designs"
"GlobalArtisan","Internationally sourced artisanal pieces"
"UrbanChic","Contemporary city-inspired home accessories"
"ZenDecor","Asian-inspired peaceful home designs"
"RusticCharm","Natural and farmhouse-style decorations"
"CoastalBliss","Beach and maritime-inspired decor"
"BohoPrism","Bohemian and eclectic designs"
"RegalRoots","Traditional luxury home accessories"
"EarthlyEssence","Nature-inspired sustainable decor"
